id,Name in English,Countries,Country codes alpha 3,ISO639-3 codes,Degree of endangerment,Alternate names,Name in the language,Number of speakers,Latitude,Longitude,Subgroup,Family
1983,Yawalapiti,Brazil,BRA,yaw,Critically endangered,Iaualapiti,,10.0,-12.1702,-53.3365,,
1984,Yiiji,Australia,AUS,wub,Critically endangered,"Unambal, Wunambal, Wunambullu, Yeidji, Yeithi, Jeidji, Jeithi.",,10.0,-15.8458,127.6281,,
1985,Arára Shawãdáwa,Brazil,BRA,knt,Critically endangered,Shawanauá,,9.0,-8.581,-72.29,,
1986,Kuuku Ya'u,Australia,AUS,kuy,Critically endangered,"Gugu Yau,  Ya'o, Koko-Ja'o, Kokoyao, Bagadji, Pakadji.",,9.0,-12.0185,142.8112,,
1987,Ngandi,Australia,AUS,nid,Critically endangered,,,9.0,-13.6459,135.2087,Enindhilyagwa,Australian
1988,Ngarluma,Australia,AUS,nrl,Critically endangered,"Narluma,  Ngaluma, Gnalouma, Gnalluma, Ngallooma.",,9.0,-21.1664,117.3339,,
1989,Zaparo,"Ecuador, Peru","ECU, PER",zro,Critically endangered,Kayapi (According to the Zapara Organization in Ecuador),,9.0,-2.2186,-76.5087,,
1990,Ongota,Ethiopia,ETH,bxe,Critically endangered,Birale,,8.0,5.3207,37.2244,,
1991,Ajuru,Brazil,BRA,wyr,Severely endangered,"Ajurú or Wayurú, Wayoró",,8.0,-12.0178,-64.7534,,
1992,Araki,Vanuatu,VUT,akr,Critically endangered,,,8.0,-15.6322,166.9413,,
1993,Busuu,Cameroon,CMR,bju,Critically endangered,,,8.0,6.8282,10.1087,,
1994,Chamicuro,Peru,PER,ccc,Critically endangered,Chamekolo,,8.0,-5.5285,-75.5969,,
1995,Dumi,Nepal,NPL,dus,Critically endangered,दुमि; दुमी,,8.0,27.3095,86.7521,,
1996,Kayardild,Australia,AUS,gyd,Critically endangered,"Gajadilt, Gajardild, Gayadilt, Gayardild, Gayardilt, Kaiadilt, Malununda",,8.0,-17.1197,139.4604,,
1997,Munichi,Peru,PER,myr,Critically endangered,,,8.0,-5.8182,-76.1846,,
1998,N|uu,South Africa,ZAF,ngh,Critically endangered,"Ŋǀuu, ǂKhomani",,8.0,-28.5169,21.4453,,
1999,Xetá,Brazil,BRA,xet,Critically endangered,"héta, chetá, setá",,8.0,-23.2867,-53.3935,,
2000,Kiksht,United States of America,USA,chh,Critically endangered,"Upper Chinook, Wasco-Wishram",,7.0,44.2708,-121.2871,,
2001,Makolkol,Papua New Guinea,PNG,zmh,Critically endangered,,,7.0,-4.8994,151.6827,,
2002,Anambé,Brazil,BRA,aan,Critically endangered,,,6.0,-2.7674,-49.2297,,
2003,Arabana,Australia,AUS,ard,Critically endangered,,,6.0,-28.6134,135.8349,,
2004,Ipai,United States of America,USA,dih,Critically endangered,Northern Diegueño,,6.0,32.9359,-116.868,,
2005,Karaim (Western Ukraine),Ukraine,UKR,kdr,Critically endangered,,,6.0,50.7538,25.3351,,
2006,Kings River Yokuts,United States of America,USA,yok,Critically endangered,,,6.0,36.9104,-118.9261,,
2007,Korana,South Africa,ZAF,kqz,Critically endangered,"!Ora, !Kora, Gri",,6.0,-26.9352,24.1254,,
2008,Mangarrayi,Australia,AUS,mpc,Critically endangered,"Mangarayi, Mungerry, Mangarai, Manggarai, Mungarai, Ngarrabadji",,6.0,-14.8067,133.8793,,
2009,Northern Sierra Miwok,United States of America,USA,nsq,Critically endangered,,,6.0,38.4008,-120.5351,,
2010,Abaga,Papua New Guinea,PNG,abg,Critically endangered,,,5.0,-6.1883,145.5976,,
2011,"Aleut (Western, Commander Islands)",Russian Federation,RUS,ale,Critically endangered,,,5.0,55.17100000000001,166.09400000000002,,
2012,Aqaw Gelao,China,CHN,gio,Critically endangered,"Gao, Qaw",,5.0,28.7447,106.0714,,
2013,Central Selkup,Russian Federation,RUS,sel,Critically endangered,"Narym Selkup, Tym Selkup (dialects)",,5.0,59.8903,82.0129,,
2014,Cocama-Cocamilla (Brazil),Brazil,BRA,cod,Critically endangered,,,5.0,-1.8043,-66.5332,,
2015,Dyirbal,Australia,AUS,dbl,Critically endangered,"Djirubal.  Dialects: Dyiru, Girramay (Keramai), Gulnguy (Gulngay), Mamu, Ngadjan (Ngatjan)",,5.0,-18.0205,145.4809,,
2016,Gamilaraay,Australia,AUS,kld,Critically endangered," Camileroi, Gamilaroi, Kamilaroi",,5.0,-29.7929,149.7106,,
2017,Great andamanese,India,IND,akj,Critically endangered,Aka-Jeru; Jeru,,5.0,12.2326,92.9031,Northern Great Andamanese,Andamanese
2018,Guató,Brazil,BRA,gta,Critically endangered,,,5.0,-17.644000000000002,-57.6562,,
2019,Holikachuk,United States of America,USA,hoi,Critically endangered,,,5.0,64.2254,-155.3027,,
2020,Isarog Agta,Philippines,PHL,agk,Critically endangered,,,5.0,13.6805,123.3805,,
2021,Itonama,Bolivia (Plurinational State of),BOL,ito,Critically endangered,Sihnipadara,,5.0,-13.6246,-63.5668,,
2022,Juma,Brazil,BRA,jua,Critically endangered,Yuma,,5.0,-7.4496,-63.8195,,
